host,stellar_r,stellar_m,inj_period,inj_rp_earth,inj_rp_rs,inj_depth_ppm,inj_impact,inj_snr,n_transits,rec_period,rec_sde,rec_depth_ppm,tls_recovered,clf_probability,clf_recovered,error
TIC 461387302,1.26669,1.287,2.365869810955864,2.5,0.018094403524145607,377.22600292244834,0.5,8.406799145875176,10,2.363278566285218,8.084190121259788,306.09645870838256,1,0.04027628081228094,0,
TIC 461387302,1.26669,1.287,2.365869810955864,4.0,0.028951045638632975,1024.0026558631098,0.1,22.820761522247686,10,2.363278566285218,13.611611442068297,990.2782295120315,1,0.20906998425720288,0,
TIC 461387302,1.26669,1.287,2.365869810955864,4.0,0.028951045638632975,965.6107924788105,0.5,21.51944967358887,10,2.363278566285218,13.382034394591194,919.6829200471823,1,0.42593915698186263,0,
TIC 461387302,1.26669,1.287,2.365869810955864,6.0,0.043426568457949455,2303.7439085288324,0.1,51.34087303763336,10,2.363278566285218,16.720130405845232,2175.187526718414,1,0.2817972515903039,0,
TIC 461387302,1.26669,1.287,2.365869810955864,6.0,0.043426568457949455,2171.8779411115106,0.5,48.40212890635497,10,2.363278566285218,18.881327302851663,2207.600487672656,1,0.46659628026474936,0,
TIC 461387302,1.26669,1.287,2.365869810955864,9.0,0.06513985268692418,5183.017599696637,0.1,115.50791194832748,10,2.363278566285218,21.429235351489204,5243.049412175238,1,0.32825260302990056,0,
TIC 461387302,1.26669,1.287,2.365869810955864,9.0,0.06513985268692418,4884.5585933922075,0.5,108.85650165359588,10,2.363278566285218,22.749858547796798,4977.587567445263,1,0.4234271114029913,0,
TIC 461387302,1.26669,1.287,2.365869810955864,13.0,0.09409089832555716,10808.29133236827,0.1,240.87187425412893,10,2.363278566285218,27.410253502704293,10596.498782237784,1,0.42047791176847527,0,
TIC 461387302,1.26669,1.287,2.365869810955864,13.0,0.09409089832555716,10180.089955736827,0.5,226.87187755297742,10,2.363278566285218,24.780873753370813,9893.464651245298,1,0.516997447437546,1,
TIC 461387302,1.26669,1.287,3.550491223608884,0.8,0.005790209127726595,40.96777101447735,0.1,0.7967709030074108,6,1.5727957084407822,4.029569465862752,177.16881866380874,0,0.05179438828224544,0,
TIC 461387302,1.26669,1.287,3.550491223608884,0.8,0.005790209127726595,38.59336261546886,0.5,0.7505916875573484,6,0.8362397275500181,4.2398425433544595,180.28855454388372,0,0.04421474137705356,0,
TIC 461387302,1.26669,1.287,3.550491223608884,1.5,0.010856642114487364,144.03338126789401,0.1,2.801265590346023,6,5.42667889465738,3.9219703819472533,342.0260331149505,0,0.0817520176780101,0,
TIC 461387302,1.26669,1.287,3.550491223608884,1.5,0.010856642114487364,135.77089885774552,0.5,2.6405708440126086,6,0.8362397275500181,3.9015461766705264,153.54477170159697,0,0.03646948588675907,0,
TIC 461387302,1.26669,1.287,3.550491223608884,2.5,0.018094403524145607,400.06864889241547,0.1,7.780825042453955,6,3.544397044142045,11.840342990142226,560.0140916383057,1,0.21958844829893667,0,
TIC 461387302,1.26669,1.287,3.550491223608884,2.5,0.018094403524145607,377.20562180521,0.5,7.33616832116643,6,3.554469536323472,7.136039371691903,343.6457033292317,1,0.08257079024291465,0,
TIC 461387302,1.26669,1.287,3.550491223608884,4.0,0.028951045638632975,1023.9692997794369,0.1,19.914897087000735,6,3.554469536323472,11.987951731684195,904.2647205614874,1,0.8561298018356335,1,
TIC 461387302,1.26669,1.287,3.550491223608884,4.0,0.028951045638632975,965.467241784812,0.5,18.777106662432676,6,3.554469536323472,13.27892987184437,870.8584548909881,1,0.8507706324608159,1,
TIC 461387302,1.26669,1.287,3.550491223608884,6.0,0.043426568457949455,2304.127413562562,0.1,44.81233990737765,6,3.554469536323472,16.02131050420836,2137.369522974386,1,0.766982098234752,1,
TIC 461387302,1.26669,1.287,3.550491223608884,6.0,0.043426568457949455,2172.1793308079327,0.5,42.24611796161079,6,3.554469536323472,15.698538459665539,2045.3099491736236,1,0.4047502365280948,0,
TIC 461387302,1.26669,1.287,3.550491223608884,9.0,0.06513985268692418,5182.889041225436,0.1,100.80058248971072,6,3.554469536323472,21.168784086615084,5229.785400789333,1,0.21152133471109186,0,
TIC 461387302,1.26669,1.287,3.550491223608884,9.0,0.06513985268692418,4885.207677213121,0.5,95.01105957110349,6,3.554469536323472,20.802204417456927,4733.6487442227735,1,0.42542635414771995,0,
TIC 461387302,1.26669,1.287,3.550491223608884,13.0,0.09409089832555716,10807.999006331558,0.1,210.20179801666114,6,3.554469536323472,25.126158516122057,10850.098418213716,1,0.3213453178531969,0,
TIC 461387302,1.26669,1.287,3.550491223608884,13.0,0.09409089832555716,10182.779709170141,0.5,198.04207998365126,6,3.554469536323472,24.72567137028217,9975.631827241483,1,0.4106354604176911,0,
